,12,12,12,34,34,34,567,567,567,bottom,bottom,bottom,all,all,all,upper,upper,upper,lower,lower,lower,middle,middle,middle
,mean,meanErr,max,mean,meanErr,max,mean,meanErr,max,mean,meanErr,max,mean,meanErr,max,mean,max,meanErr,mean,max,meanErr,mean,max,meanErr
250107,,,,,,,,,,6.05737504096208,0.1313128517517903,266.18516525067264,16.04551828184759,0.1669644761135152,622.5221561937841,2.188356088189712,97.47701316736864,0.1716857086882883,1.8673428495287416,121.41179532172497,0.1003977334656438,5.615089666270131,170.7543396495955,0.1439858182067213
250108,,,,,,,,,,5.855350632436966,0.1237109034324881,290.4124615556024,16.81897109218949,0.3306401061238032,739.8333792118483,2.4343940803712867,100.44056529667571,0.0854644533916793,2.1152048139368187,119.76333926115144,0.1409532792503889,5.850017808860696,214.5650417357405,0.1553076081884934
250109,,,,,,,,,,5.120035903129642,0.8358446992894117,285.0373550476357,16.86029765314618,0.5431848494385297,608.1297572674707,2.595461693591525,105.50537086810206,0.2680686911589381,1.715860008851699,145.94851486751037,0.1116647546478688,4.598552221379307,179.1771563204214,0.3909946771219723
250110,,,,,,,,,,3.15654583780121,0.1905731513698891,665.0731214830698,34.95051089756298,0.628147768216097,758.2171791572314,2.5664176402919727,96.44946509971138,0.1621258531378157,2.2216162348963064,120.99965972184498,0.13610669843552,5.898725825336094,173.307180099527,0.1360695119790409
250111,,,,,,,,,,6.024027685780227,0.1800690905783661,247.9967686886332,16.5727152138447,0.2256321125721765,596.1423826817365,2.3984077480208725,91.26527675243344,0.1172376369055098,2.228811062543252,111.36448360927714,0.0629036478747337,5.7425026518776,162.8649894212612,0.2118324875183741
250112,,,,,,,,,,6.244818994360521,0.2085023382337935,290.24752419175707,16.19197141302798,0.1893109078394877,2371.753271873044,2.427391201256212,104.47949842852742,0.1489307187376224,2.109824245109825,136.53793381539268,0.091925820668373,5.763966591451904,2179.8829391155027,0.1179003491736437
250113,,,,,,,,,,5.87201330124336,0.1383861507651087,281.4869537846822,15.95618675953954,0.2350242637529335,677.7882923282378,2.2629334453364973,86.67974507949491,0.0721577929557459,1.9571317801641872,115.67506497879182,0.0953504554377906,5.753484275002424,178.94801238936307,0.1484775278084485
250114,,,,,,,,,,5.798155646682193,0.0863804037252397,285.74620762856006,16.409680273204753,0.1966455915595564,653.5755315282805,2.2379152950672667,94.82240178377192,0.0776398936615662,2.080937480228924,125.460996114839,0.1045188252685213,5.672062779070878,181.9935625941892,0.0984383137954042
250116,,,,,,,,,,5.461611046914035,0.1131624945531666,270.6079454008661,15.701383475870678,0.2244281660955235,710.7713037158732,2.5857679225275865,89.11495086894865,0.1024537484183196,2.044017253700161,113.88836679074818,0.1275532094617225,5.732118390908518,202.56165513046227,0.0929537998872116
250117,,,,,,,,,,5.400484746849106,0.1300564035370648,240.5731781082284,15.74970309621108,0.2439758552556353,1115.342309639496,2.4559155551202,90.06749890758229,0.149978313316423,1.8503217398899303,110.0093970731791,0.1778532005947286,5.864593386517389,791.6196295142728,0.2381235665341111
250117,,,,,,,,,,5.400484746849106,0.13005640353706485,240.5731781082284,15.74970309621108,0.24397585525563534,1115.342309639496,2.4559155551202,90.06749890758229,0.14997831331642308,1.8503217398899303,110.0093970731791,0.17785320059472862,5.864593386517389,791.6196295142728,0.23812356653411115
