,12,12,12,34,34,34,567,567,567,bottom,bottom,bottom,all,all,all,upper,upper,upper,lower,lower,lower,middle,middle,middle
,mean,meanErr,max,mean,meanErr,max,mean,meanErr,max,mean,meanErr,max,mean,meanErr,max,mean,max,meanErr,mean,max,meanErr,mean,max,meanErr
241130,,,,,,,,,,6.260884639464528,0.1421149359947647,267.8349537676137,16.72784239675852,0.2890904196130853,596.30108719653,2.4934832926318875,80.87653567729438,0.0967323409149914,2.1001022382616923,106.93033799874208,0.079885683404737,5.761388253195341,165.82913242441322,0.1108718409436286
241112,,,,,,,,,,6.153345893382923,0.10086550232274895,207.8651001520153,16.717471961960975,0.18595279536912163,415.61581039572195,2.414692677368373,37.235952355865216,0.07823123402602006,1.96899884038615,69.22838563747754,0.16973402249070946,5.5803608283827675,103.76555274427331,0.1286119917400273
